"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 08- 16","0.2861","0.2988","0.3267","0.2735","12.98B","-4.27%"
"2020- 08- 09","0.2989","0.2953","0.3071","0.2708","13.83B","1.22%"
"2020- 08- 02","0.2952","0.2910","0.3252","0.2556","19.02B","1.46%"
"2020- 07- 26","0.2910","0.2410","0.2974","0.2374","13.59B","35.58%"
"2020- 07- 19","0.2146","0.1999","0.2174","0.1929","7.27B","7.38%"
"2020- 07- 12","0.1999","0.2011","0.2064","0.1891","6.77B","-0.63%"
"2020- 07- 05","0.2011","0.1781","0.2116","0.1740","10.19B","12.95%"
"2020- 06- 28","0.1781","0.1751","0.1796","0.1724","5.69B","1.68%"
"2020- 06- 21","0.1751","0.1879","0.1904","0.1695","6.59B","-6.81%"
"2020- 06- 14","0.1879","0.1924","0.1985","0.1824","6.62B","-2.33%"
"2020- 06- 07","0.1924","0.2037","0.2050","0.1854","6.79B","-5.54%"
"2020- 05- 31","0.2037","0.2070","0.2145","0.1983","10.33B","-1.61%"
"2020- 05- 24","0.2070","0.1988","0.2075","0.1905","8.54B","4.13%"
"2020- 05- 17","0.1988","0.1998","0.2078","0.1901","9.63B","-0.49%"
"2020- 05- 10","0.1998","0.2165","0.2165","0.1824","17.74B","-7.70%"
"2020- 05- 03","0.2165","0.2237","0.2265","0.2073","17.91B","-3.24%"
"2020- 04- 26","0.2237","0.1942","0.2355","0.1928","20.56B","15.20%"
"2020- 04- 19","0.1942","0.1953","0.1986","0.1789","17.78B","-0.57%"
"2020- 04- 12","0.1953","0.1884","0.1967","0.1743","18.85B","3.67%"
"2020- 04- 05","0.1884","0.1812","0.2050","0.1769","20.62B","3.97%"
"2020- 03- 29","0.1812","0.1755","0.1859","0.1622","23.53B","3.28%"
"2020- 03- 22","0.1755","0.1579","0.1871","0.1454","27.74B","11.13%"
"2020- 03- 15","0.1579","0.1460","0.1745","0.1287","38.41B","8.17%"
"2020- 03- 08","0.1460","0.2362","0.2362","0.1057","50.78B","-38.21%"
"2020- 03- 01","0.2362","0.2290","0.2462","0.2244","14.84B","3.15%"
"2020- 02- 23","0.2290","0.2749","0.2843","0.2231","19.39B","-16.69%"
"2020- 02- 16","0.2749","0.3075","0.3188","0.2628","23.14B","-10.61%"
"2020- 02- 09","0.3075","0.2776","0.3455","0.2676","24.00B","10.77%"
"2020- 02- 02","0.2776","0.2413","0.2880","0.2413","17.97B","15.05%"
"2020- 01- 26","0.2413","0.2196","0.2459","0.2182","12.26B","9.89%"
"2020- 01- 19","0.2196","0.2435","0.2512","0.2140","11.91B","-9.82%"
"2020- 01- 12","0.2435","0.2113","0.3232","0.2097","17.51B","15.20%"
"2020- 01- 05","0.2114","0.1931","0.2250","0.1929","15.53B","9.46%"
"2019- 12- 29","0.1931","0.1931","0.1983","0.1846","10.52B","0.00%"
"2019- 12- 22","0.1931","0.1915","0.1982","0.1854","10.68B","0.85%"
"2019- 12- 15","0.1915","0.2163","0.2191","0.1755","15.38B","-11.49%"
"2019- 12- 08","0.2163","0.2271","0.2318","0.2151","9.03B","-4.74%"
"2019- 12- 01","0.2271","0.2255","0.2279","0.2099","10.81B","0.71%"
"2019- 11- 24","0.2255","0.2340","0.2346","0.2027","11.84B","-3.64%"
"2019- 11- 17","0.2340","0.2622","0.2659","0.2222","12.26B","-10.75%"
"2019- 11- 10","0.2622","0.2799","0.2837","0.2540","10.64B","-6.31%"
"2019- 11- 03","0.2799","0.2947","0.3142","0.2719","13.74B","-5.03%"
"2019- 10- 27","0.2947","0.2937","0.3091","0.2854","13.63B","0.32%"
"2019- 10- 20","0.2938","0.2913","0.3120","0.2516","14.87B","0.83%"
"2019- 10- 13","0.2913","0.2724","0.3030","0.2716","13.71B","6.96%"
"2019- 10- 06","0.2724","0.2532","0.2863","0.2510","11.71B","7.58%"
"2019- 09- 29","0.2532","0.2419","0.2613","0.2348","8.79B","4.68%"
"2019- 09- 22","0.2419","0.2897","0.2898","0.2252","12.61B","-16.51%"
"2019- 09- 15","0.2897","0.2613","0.3257","0.2572","12.05B","10.87%"
"2019- 09- 08","0.2613","0.2600","0.2657","0.2510","6.39B","0.50%"
"2019- 09- 01","0.2600","0.2576","0.2661","0.2480","6.65B","0.93%"
"2019- 08- 25","0.2576","0.2714","0.2794","0.2477","6.65B","-5.08%"
"2019- 08- 18","0.2714","0.2654","0.2714","0.2592","12.32B","2.23%"
"2019- 08- 11","0.2654","0.2992","0.3059","0.2402","12.16B","-11.30%"
"2019- 08- 04","0.2992","0.3160","0.3307","0.2904","7.48B","-5.31%"
"2019- 07- 28","0.3160","0.3099","0.3232","0.3009","6.20B","1.96%"
"2019- 07- 21","0.3099","0.3328","0.3347","0.3041","7.29B","-6.89%"
"2019- 07- 14","0.3329","0.3320","0.3403","0.2861","10.66B","0.24%"
"2019- 07- 07","0.3321","0.3902","0.4065","0.3194","10.76B","-14.90%"
"2019- 06- 30","0.3902","0.4267","0.4283","0.3749","9.21B","-8.56%"
"2019- 06- 23","0.4267","0.4771","0.4958","0.3949","14.40B","-10.55%"
"2019- 06- 16","0.4771","0.4095","0.5055","0.4068","11.45B","16.51%"
"2019- 06- 09","0.4095","0.4072","0.4120","0.3723","8.66B","0.55%"
"2019- 06- 02","0.4072","0.4289","0.4634","0.3853","12.20B","-5.06%"
"2019- 05- 26","0.4289","0.3854","0.4723","0.3756","15.18B","11.31%"
"2019- 05- 19","0.3854","0.3719","0.4248","0.3635","13.06B","3.61%"
"2019- 05- 12","0.3719","0.3218","0.4780","0.3058","24.73B","15.55%"
"2019- 05- 05","0.3219","0.3037","0.3377","0.2930","6.77B","6.00%"
"2019- 04- 28","0.3037","0.2990","0.3171","0.2919","6.56B","1.58%"
"2019- 04- 21","0.2990","0.3273","0.3314","0.2869","8.84B","-8.67%"
"2019- 04- 14","0.3273","0.3248","0.3447","0.3143","7.24B","0.78%"
"2019- 04- 07","0.3248","0.3526","0.3702","0.3146","5.27B","-7.87%"
"2019- 03- 31","0.3526","0.3110","0.3794","0.3074","8.78B","13.35%"
"2019- 03- 24","0.3110","0.3117","0.3181","0.2941","2.81B","-0.21%"
"2019- 03- 17","0.3117","0.3187","0.3223","0.3028","2.24B","-2.20%"
"2019- 03- 10","0.3187","0.3139","0.3252","0.3064","2.23B","1.54%"
"2019- 03- 03","0.3139","0.3141","0.3216","0.2979","2.35B","-0.07%"
"2019- 02- 24","0.3141","0.3329","0.3436","0.2948","3.96B","-5.63%"
"2019- 02- 17","0.3328","0.3009","0.3477","0.2989","3.08B","10.64%"
"2019- 02- 10","0.3008","0.3122","0.3133","0.2980","1.61B","-3.64%"
"2019- 02- 03","0.3122","0.3103","0.3201","0.2888","1.74B","0.60%"
"2019- 01- 27","0.3103","0.3130","0.3360","0.2818","2.32B","-0.86%"
"2019- 01- 20","0.3130","0.3286","0.3305","0.3076","845.41M","-4.72%"
"2019- 01- 13","0.3285","0.3271","0.3353","0.3107","1.43B","0.43%"
"2019- 01- 06","0.3271","0.3511","0.3814","0.3195","1.75B","-6.81%"
"2018- 12- 30","0.3511","0.3594","0.3768","0.3466","1.46B","-2.33%"
"2018- 12- 23","0.3594","0.3603","0.4527","0.3296","3.03B","-0.25%"
"2018- 12- 16","0.3603","0.2855","0.3947","0.2853","2.80B","26.21%"
"2018- 12- 09","0.2855","0.3041","0.3216","0.2816","1.13B","-6.13%"
"2018- 12- 02","0.3041","0.3733","0.3807","0.2887","1.80B","-18.52%"
"2018- 11- 25","0.3733","0.3793","0.4033","0.3280","3.37B","-1.62%"
"2018- 11- 18","0.3794","0.4979","0.5297","0.3703","3.50B","-23.75%"
"2018- 11- 11","0.4976","0.5084","0.5323","0.4238","2.26B","-2.13%"
"2018- 11- 04","0.5084","0.4569","0.5651","0.4497","2.16B","11.30%"
