"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 10- 17","74,875,000","74,805,000","81,200,000","73,200,000","10.50K","0.09%"
"2021- 10- 10","74,805,000","67,047,000","76,605,000","66,350,000","7.52K","11.57%"
"2021- 10- 03","67,048,000","58,094,000","68,000,000","57,263,000","4.87K","15.41%"
"2021- 09- 26","58,094,000","52,324,000","58,965,000","49,861,000","4.08K","11.03%"
"2021- 09- 19","52,324,000","58,614,000","58,720,000","50,071,000","5.97K","-10.75%"
"2021- 09- 12","58,625,000","54,742,000","58,953,000","53,307,000","4.14K","7.09%"
"2021- 09- 05","54,742,000","57,918,000","61,143,000","52,901,000","7.71K","-5.48%"
"2021- 08- 29","57,918,000","57,382,000","59,143,000","54,467,000","4.07K","0.93%"
"2021- 08- 22","57,382,000","57,500,000","58,705,000","54,510,000","4.15K","-0.21%"
"2021- 08- 15","57,500,000","54,869,000","58,351,000","51,802,000","7.12K","4.79%"
"2021- 08- 08","54,870,000","51,015,000","55,678,000","49,459,000","6.81K","7.58%"
"2021- 08- 01","51,003,000","47,959,000","51,158,000","43,739,000","7.61K","6.25%"
"2021- 07- 25","48,005,000","40,486,000","48,734,000","39,631,000","8.05K","21.32%"
"2021- 07- 18","39,569,000","37,200,000","39,814,000","34,782,000","4.80K","6.31%"
"2021- 07- 11","37,221,000","39,618,000","40,550,000","36,689,000","3.67K","-6.05%"
"2021- 07- 04","39,618,000","41,183,000","41,207,000","38,142,000","3.61K","-1.78%"
"2021- 06- 27","40,335,000","37,690,000","41,980,000","37,690,000","5.86K","7.02%"
"2021- 06- 20","37,689,000","42,039,000","42,039,000","36,670,000","13.38K","-10.35%"
"2021- 06- 13","42,039,000","41,384,000","46,344,000","41,111,000","11.19K","1.64%"
"2021- 06- 06","41,361,000","41,982,000","42,930,000","38,770,000","11.54K","-1.48%"
"2021- 05- 30","41,982,000","42,669,000","45,202,000","41,782,000","6.36K","-1.59%"
"2021- 05- 23","42,660,000","47,312,000","48,620,000","42,124,000","13.42K","-9.76%"
"2021- 05- 16","47,273,000","58,248,000","59,833,000","46,258,000","17.50K","-18.80%"
"2021- 05- 09","58,217,000","71,704,000","71,850,000","58,217,000","11.68K","-18.81%"
"2021- 05- 02","71,709,000","68,894,000","71,709,000","66,886,000","11.07K","4.08%"
"2021- 04- 25","68,898,000","60,814,000","68,898,000","60,814,000","9.01K","13.29%"
"2021- 04- 18","60,813,000","77,956,000","77,956,000","57,124,000","14.82K","-21.99%"
"2021- 04- 11","77,959,000","78,310,000","80,418,000","77,646,000","7.40K","-0.44%"
"2021- 04- 04","78,303,000","72,076,000","78,550,000","72,076,000","7.87K","8.64%"
"2021- 03- 28","72,076,000","66,428,000","74,672,000","66,428,000","6.96K","8.37%"
"2021- 03- 21","66,510,000","67,470,000","67,470,000","63,113,000","8.34K","-1.43%"
"2021- 03- 14","67,473,000","70,588,000","70,815,000","63,078,000","8.98K","-4.43%"
"2021- 03- 07","70,604,000","56,073,000","70,604,000","56,073,000","13.76K","25.89%"
"2021- 02- 28","56,086,000","53,396,000","57,057,000","52,554,000","29.53K","5.01%"
"2021- 02- 21","53,409,000","64,218,000","64,950,000","53,364,000","26.40K","-16.81%"
"2021- 02- 14","64,200,000","50,611,000","64,996,000","50,611,000","11.92K","26.95%"
"2021- 02- 07","50,571,000","41,713,000","51,394,000","41,265,000","14.19K","21.17%"
"2021- 01- 31","41,737,000","36,972,000","43,032,000","36,972,000","12.13K","12.92%"
"2021- 01- 24","36,961,000","35,495,000","40,308,000","34,985,000","17.94K","4.18%"
"2021- 01- 17","35,479,000","40,065,000","40,237,000","35,379,000","16.40K","-11.49%"
"2021- 01- 10","40,083,000","45,603,000","46,620,000","35,135,000","35.27K","-12.13%"
"2021- 01- 03","45,614,000","35,705,000","46,432,000","35,190,000","31.18K","27.75%"
"2020- 12- 27","35,705,000","29,371,000","36,184,000","29,371,000","14.63K","21.51%"
"2020- 12- 20","29,385,000","26,183,000","29,385,000","25,252,000","17.40K","12.23%"
"2020- 12- 13","26,183,000","20,573,000","26,183,000","20,573,000","12.68K","27.35%"
"2020- 12- 06","20,560,000","20,798,000","20,934,000","20,022,000","6.37K","-1.14%"
"2020- 11- 29","20,798,000","19,480,000","21,215,000","19,281,000","9.10K","6.77%"
"2020- 11- 22","19,480,000","20,371,000","21,112,000","19,172,000","12.24K","-4.37%"
"2020- 11- 15","20,371,000","17,792,000","20,590,000","17,684,000","10.79K","14.50%"
"2020- 11- 08","17,792,000","16,650,000","17,871,000","16,650,000","7.49K","6.86%"
"2020- 11- 01","16,650,000","15,620,000","17,083,000","15,216,000","8.44K","6.59%"
"2020- 10- 25","15,620,000","14,753,000","15,620,000","14,753,000","6.01K","5.88%"
"2020- 10- 18","14,753,000","13,062,000","14,753,000","13,062,000","6.73K","12.95%"
"2020- 10- 11","13,062,000","12,851,000","13,063,000","12,851,000","3.40K","1.64%"
"2020- 10- 04","12,851,000","12,385,000","12,851,000","12,385,000","2.86K","3.76%"
"2020- 09- 27","12,385,000","12,489,000","12,617,000","12,377,000","4.01K","-0.83%"
"2020- 09- 20","12,489,000","12,919,000","12,919,000","12,225,000","5.67K","-3.33%"
"2020- 09- 13","12,919,000","12,360,000","12,919,000","12,290,000","4.69K","4.52%"
"2020- 09- 06","12,360,000","12,368,000","12,368,000","11,943,000","5.16K","-0.02%"
"2020- 08- 30","12,363,000","13,432,000","13,883,000","12,363,000","11.03K","-7.96%"
"2020- 08- 23","13,432,000","13,841,000","13,841,000","13,400,000","5.13K","-2.97%"
"2020- 08- 16","13,843,000","13,881,000","14,222,000","13,559,000","9.62K","-0.21%"
"2020- 08- 09","13,872,000","13,868,000","14,018,000","13,494,000","9.75K","0.03%"
"2020- 08- 02","13,868,000","13,934,000","13,935,000","13,220,000","8.04K","-0.47%"
"2020- 07- 26","13,934,000","11,470,000","13,934,000","11,437,000","13.91K","21.48%"
"2020- 07- 19","11,470,000","10,913,000","11,470,000","10,888,000","5.04K","5.17%"
"2020- 07- 12","10,906,000","10,968,000","11,020,000","10,879,000","3.77K","-0.57%"
"2020- 07- 05","10,968,000","10,887,000","11,137,000","10,772,000","4.79K","0.74%"
"2020- 06- 28","10,887,000","10,908,000","11,101,000","10,757,000","3.91K","-0.19%"
"2020- 06- 21","10,908,000","11,314,000","11,667,000","10,800,000","5.04K","-3.59%"
"2020- 06- 14","11,314,000","11,393,000","11,508,000","10,770,000","4.83K","-0.68%"
"2020- 06- 07","11,392,000","11,628,000","11,797,000","11,050,000","8.30K","-2.11%"
